tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,league
2024-M001,Open Cup,Clay,64,B,2024-06-15,101,100001,1.0,nan,Novak Djokovic,R,188.0,SRB,36.0,100002,2.0,nan,Rafael Nadal,R,185.0,ESP,37.0,6-4 7-5,3,F,120.0,8.0,2.0,70.0,50.0,45.0,20.0,15.0,5.0,2.0,9.0,6.0,60.0,40.0,20.0,10.0,5.0,7.0,8.0,6.0,1000.0,100.0,950.0,90.0,atp
2024-M002,Open Cup,Clay,64,B,2024-06-15,102,100002,2.0,nan,Rafael Nadal,R,185.0,ESP,37.0,100003,3.0,nan,Alexander Zverev,R,198.0,GER,27.0,6-2 6-4,3,SF,110.0,10.0,3.0,65.0,45.0,42.0,18.0,14.0,4.0,3.0,7.0,8.0,55.0,38.0,17.0,9.0,6.0,5.0,7.0,5.0,950.0,95.0,900.0,85.0,atp
2024-M003,Open Cup,Clay,64,B,2024-06-15,103,100003,3.0,nan,Alexander Zverev,R,198.0,GER,27.0,100004,4.0,nan,Andy Murray,R,189.0,GBR,36.0,7-6(3) 6-3,3,QF,130.0,12.0,4.0,72.0,50.0,40.0,22.0,15.0,7.0,1.0,10.0,4.0,65.0,35.0,30.0,14.0,8.0,6.0,10.0,7.0,900.0,90.0,850.0,80.0,atp
2024-M004,Open Cup,Clay,64,B,2024-06-15,104,100004,4.0,nan,Andy Murray,R,189.0,GBR,36.0,100005,5.0,nan,Stefanos Tsitsipas,R,193.0,GRE,26.0,6-4 7-6(5),3,QF,140.0,11.0,5.0,78.0,55.0,43.0,20.0,17.0,3.0,2.0,9.0,7.0,70.0,40.0,30.0,15.0,9.0,5.0,8.0,8.0,850.0,85.0,800.0,75.0,atp
2024-M005,Open Cup,Clay,64,B,2024-06-15,105,100005,5.0,nan,Stefanos Tsitsipas,R,193.0,GRE,26.0,100006,6.0,nan,Daniil Medvedev,R,196.0,RUS,28.0,6-3 6-4,3,3rd,135.0,13.0,6.0,80.0,60.0,44.0,25.0,18.0,7.0,4.0,12.0,5.0,75.0,50.0,25.0,12.0,7.0,6.0,9.0,7.0,800.0,80.0,750.0,70.0,atp
2024-M006,Open Cup,Clay,64,B,2024-06-15,106,100006,6.0,nan,Daniil Medvedev,R,196.0,RUS,28.0,100007,7.0,nan,Lucas Pouille,R,188.0,FRA,30.0,7-5 6-2,3,3rd,125.0,10.0,7.0,68.0,55.0,40.0,22.0,16.0,6.0,3.0,11.0,4.0,70.0,45.0,25.0,10.0,8.0,5.0,7.0,6.0,750.0,75.0,700.0,65.0,atp
2024-M007,Open Cup,Clay,64,B,2024-06-15,107,100007,7.0,nan,Lucas Pouille,R,188.0,FRA,30.0,100008,8.0,nan,Grigor Dimitrov,R,191.0,BUL,32.0,6-4 6-4,3,4th,120.0,12.0,5.0,75.0,52.0,38.0,20.0,14.0,6.0,4.0,9.0,5.0,65.0,40.0,25.0,11.0,6.0,7.0,6.0,5.0,700.0,70.0,650.0,60.0,atp
2024-M008,Open Cup,Clay,64,B,2024-06-15,108,100008,8.0,nan,Grigor Dimitrov,R,191.0,BUL,32.0,100009,9.0,nan,David Goffin,R,180.0,BEL,30.0,7-6(4) 6-4,3,4th,110.0,11.0,4.0,70.0,48.0,35.0,19.0,15.0,4.0,2.0,8.0,6.0,60.0,37.0,23.0,13.0,7.0,6.0,5.0,4.0,650.0,65.0,600.0,55.0,atp
2024-M009,Open Cup,Clay,64,B,2024-06-15,109,100009,9.0,nan,David Goffin,R,180.0,BEL,30.0,100010,10.0,nan,John Isner,R,208.0,USA,39.0,6-4 6-4,3,5th,140.0,14.0,6.0,80.0,58.0,40.0,24.0,17.0,7.0,3.0,10.0,5.0,70.0,42.0,28.0,16.0,9.0,5.0,8.0,6.0,600.0,60.0,550.0,50.0,atp
2024-M010,Open Cup,Clay,64,B,2024-06-15,110,100010,10.0,nan,John Isner,R,208.0,USA,39.0,100011,11.0,nan,Stan Wawrinka,R,183.0,SUI,38.0,7-6(4) 6-4,3,Final,150.0,15.0,8.0,85.0,60.0,44.0,
